#,Token,,Price,Change (%),Volume (24H),Circulating Market Cap,Onchain Market Cap,Holders,Id
11,Edelcoin(EDLC),,$1.1240.000361 ETH,-0.02%,"$5,287,254.00 ","$6,200,886,096.00 ","$6,200,886,095.77 ",6010.00%,0xc47ef9b19c3e29317a50f5fbe594eba361dada4a
12,NEAR(NEAR),,$4.880.001567 ETH,-5.52%,"$224,567,318.00 ","$5,409,282,840.00 ","$7,919,810.56 ",40360.03%,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4
13,Bitfinex LEO Token(LEO),,$5.730.001840 ETH,0.94%,"$2,827,540.00 ","$5,290,459,282.00 ","$3,781,800,000.00 ",28500.00%,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
14,Uniswap(UNI),,$7.010.002251 ETH,-4.15%,"$147,076,987.00 ","$5,287,183,426.00 ","$7,010,000,000.00 ",3815130.00%,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
15,Dai Stablecoin(DAI),,$0.99920.000321 ETH,-0.11%,"$162,777,309.00 ","$5,284,934,793.00 ","$3,197,126,246.43 ",5054970.01%,0x6b175474e89094c44da98b954eedeac495271d0f
16,Matic Token(MATIC),,$0.49170.000158 ETH,-4.50%,"$266,883,207.00 ","$4,870,325,009.00 ","$4,916,669,093.12 ",6687150.01%,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
17,Wrapped eETH(weETH),,"$3,261.261.047039 ETH",-5.49%,"$49,377,359.00 ","$4,830,732,633.00 ","$4,829,192,276.50 ","13,930-0.108%",0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee
18,Pepe(PEPE),,$0.000.000000 ETH,-11.69%,"$939,735,348.00 ","$4,261,373,119.00 ","$4,261,588,687.00 ",2668880.04%,0x6982508145454ce325ddbe47a25d4ec3d2311933
19,Staked USDe(sUSDe),,$0.99760.000320 ETH,-0.20%,"$112,977,612.00 ","$3,195,830,958.00 ","$1,519,883,771.72 ","7,227-0.194%",0x9D39A5DE30e57443BfF2A8307A4256c8797A3497
20,USDe(USDe),,$0.99760.000320 ETH,-0.20%,"$112,977,612.00 ","$3,195,830,958.00 ","$3,193,862,526.61 ",153050.28%,0x4c9edd5852cd905f086c759e8383e09bff1e68b3
21,Fetch(FET),,$1.100.000353 ETH,-7.11%,"$121,789,278.00 ","$2,778,341,407.00 ","$2,893,601,855.10 ",945940.08%,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85
22,Maker(MKR),,"$2,686.950.862655 ETH",-5.97%,"$136,396,523.00 ","$2,499,981,334.00 ","$2,626,845,615.45 ",1011590.01%,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
23,Wrapped Filecoin(WFIL),,$4.120.001323 ETH,-4.83%,"$123,408,270.00 ","$2,371,880,676.00 ","$12,071.50 ",1710.00%,0x6e1A19F235bE7ED8E3369eF73b196C07257494DE
24,OKB(OKB),,$38.490.012357 ETH,-2.99%,"$4,191,795.00 ","$2,310,441,171.00 ","$11,547,000,000.00 ",168190.08%,0x75231f58b43240c9718dd58b4967c5114342a86c
25,Cronos Coin(CRO),,$0.08480.000027 ETH,-4.99%,"$8,790,696.00 ","$2,279,699,012.00 ","$8,476,500,000.00 ",3140390.01%,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
26,Mantle(MNT),,$0.6940.000223 ETH,-7.66%,"$148,850,132.00 ","$2,267,722,985.00 ","$4,315,938,425.11 ",190610.05%,0x3c3a81e81dc49a522a592e7622a7e711c06bf354
27,Cosmos(ATOM),,$5.67970.001823 ETH,-4.42%,"$94,206,476.00 ","$2,220,351,176.00 ","$68,547.75 ",335,0x8D983cb9388EaC77af0474fA441C4815500Cb7BB
28,Arbitrum(ARB),,$0.6390.000205 ETH,-5.46%,"$224,893,256.00 ","$2,134,778,218.00 ","$37,102,809.93 ",379620.07%,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1
29,VeChain(VEN),,$0.02570.000008 ETH,-5.74%,"$26,380,063.00 ","$2,079,133,246.00 ","$25,673,052.90 ",462230.00%,0xd850942ef8811f2a866692a623011bde52a462c1
30,Immutable X(IMX),,$1.330.000427 ETH,-6.50%,"$33,013,645.00 ","$2,059,387,970.00 ","$2,660,000,000.00 ",899060.04%,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff
31,Injective Token(INJ),,$20.96340.006730 ETH,-9.25%,"$115,265,777.00 ","$2,036,025,498.00 ","$2,096,342,468.54 ",439470.02%,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30
32,Render Token(RNDR),,$5.190.001666 ETH,-11.87%,"$109,352,393.00 ","$2,035,957,509.00 ","$2,762,220,009.45 ","83,402-0.004%",0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
33,First Digital USD(FDUSD),,$0.99360.000319 ETH,-0.51%,"$7,384,919,268.00 ","$1,999,574,926.00 ","$1,945,340,012.08 ",19710.10%,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409
34,Rocket Pool ETH(rETH),,"$3,492.701.121343 ETH",-5.56%,"$3,436,208.00 ","$1,751,541,584.00 ","$1,749,126,696.50 ",179280.05%,0xae78736cd615f374d3085123a210448e74fc6393
35,Staked Aave(stkAAVE),,$111.400.035765 ETH,2.43%,"$335,009,947.00 ","$1,661,336,436.00 ","$316,030,771.40 ",200280.02%,0x4da27a545c0c5b758a6ba100e3a049001de870f5
36,Graph Token(GRT),,$0.17380.000056 ETH,-6.12%,"$50,699,589.00 ","$1,661,211,362.00 ","$1,877,268,728.95 ",1648270.02%,0xc944e90c64b2c07662a292be6244bdf05cda44a7
37,ezETH(Renzo Restaked ETH),,"$3,160.771.014776 ETH",-5.73%,"$26,953,935.00 ","$1,585,800,386.00 ","$1,585,799,399.01 ","19,976-0.365%",0xbf5495Efe5DB9ce00f80364C8B423567e58d2110
38,BitgetToken(BGB),,$1.0940.000351 ETH,-3.18%,"$27,693,978.00 ","$1,533,318,324.00 ","$2,188,000,000.00 ",40790.07%,0x54D2252757e1672EEaD234D27B1270728fF90581
39,mETH(mETH),,"$3,236.991.039247 ETH",-5.70%,"$43,361,749.00 ","$1,516,063,480.00 ","$1,512,480,340.51 ",57920.16%,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa
40,WBT(WBT),,$10.360.003326 ETH,0.39%,"$4,031,353.00 ","$1,490,313,536.00 ","$2,569,835,409.96 ",3580.00%,0x925206b8a707096ed26ae47c84747fe0bb734f59
41,FLOKI(FLOKI),,$0.00020.000000 ETH,-11.85%,"$231,257,934.00 ","$1,467,353,915.00 ","$1,511,300,000.00 ",793080.03%,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e
42,Lido DAO Token(LDO),,$1.530.000491 ETH,-8.04%,"$111,696,999.00 ","$1,367,092,858.00 ","$1,530,000,000.00 ",464920.02%,0x5a98fcbea516cf06857215779fd812ca3bef1b32
43,Theta Token(THETA),,$1.310.000421 ETH,-6.68%,"$28,340,984.00 ","$1,313,560,125.00 ","$1,310,000,000.00 ",304440.00%,0x3883f5e181fccaf8410fa61e12b59bad963fb645
44,Ondo(ONDO),,$0.89890.000289 ETH,-6.43%,"$95,905,900.00 ","$1,297,777,116.00 ","$8,988,840,000.00 ",576790.14%,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3
45,ether.fi ETH(eETH),,"$3,111.520.998964 ETH",-6.07%,"$409,296.00 ","$1,105,087,703.00 ","$5,915,964,091.20 ",1372480.07%,0x35fa164735182de50811e8e2e824cfb9b6118ac2
46,Wrapped Flow(WFLOW),,$0.66680.000214 ETH,-5.17%,"$50,545,803.00 ","$1,015,588,007.00 ","$1,782,855.15 ",9960.00%,0x5c147e74d63b1d31aa3fd78eb229b65161983b2b
47,Quant(QNT),,$67.300.021607 ETH,-2.54%,"$17,836,290.00 ","$979,336,465.00 ","$3,059,929,100.00 ",1533470.00%,0x4a220e6096b25eadb88358cb44068a3248254675
48,MANTRA DAO(OM),,$1.160.000372 ETH,-1.11%,"$25,526,035.00 ","$970,436,076.00 ","$1,031,111,110.08 ",122940.07%,0x3593d125a4f7849a1b059e64f4517a86dd60c95d
49,KuCoin Token(KCS),,$9.30530.002988 ETH,-3.34%,"$1,109,895.00 ","$889,035,409.00 ","$1,541,350,387.13 ",97050.03%,0xf34960d9d60be18cc1d5afc1a6f012a723a28811
50,Beam(BEAM),,$0.01720.000006 ETH,-9.98%,"$35,044,908.00 ","$873,441,013.00 ","$1,042,227,671.08 ",365780.05%,0x62D0A8458eD7719FDAF978fe5929C6D342B0bFcE
51,(Wormhole)(),,$197.9190.063543 ETH,-9.19%,"$15,392,615.00 ","$863,201,214.00 ",$0.00 ,0,0x756bfb452cfe36a5bc82e4f5f4261a89a18c242b
52,BitTorrent(BTT),,$0.000.000000 ETH,-3.71%,"$20,376,156.00 ","$833,300,084.00 ","$31,449,249.58 ","23,281-0.009%",0xc669928185dbce49d2230cc9b0979be6dc797957
53,Axie Infinity Shard(AXS),,$5.500.001766 ETH,-5.40%,"$39,021,348.00 ","$816,798,696.00 ","$1,485,000,000.00 ",806630.02%,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b
54,rsETH(rsETH),,"$3,215.41561.032320 ETH",-5.14%,"$3,742,150.00 ","$800,927,315.00 ","$800,927,876.68 ",185960.11%,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7
55,Ethereum Name Service(ENS),,$23.630.007586 ETH,-10.04%,"$130,512,875.00 ","$782,559,248.00 ","$2,363,000,000.00 ",655620.03%,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72
56,Starknet Token(STRK),,$0.45950.000148 ETH,-6.35%,"$66,825,492.00 ","$744,314,673.00 ","$4,594,622,549.90 ",114570.17%,0xca14007eff0db1f8135f4c25b34de49ab0d42766
57,Decentralized USD(USDD),,$0.99730.000320 ETH,-0.20%,"$5,179,628.00 ","$740,091,463.00 ","$123,808,426.11 ",12400.00%,0x0C10bF8FcB7Bf5412187A595ab97a3609160b5c6
58,Coinbase Wrapped Staked ETH(cbETH),,"$3,363.331.079809 ETH",-5.54%,"$23,741,428.00 ","$727,577,605.00 ","$2,588,872,817.55 ",575640.09%,0xBe9895146f7AF43049ca1c1AE358B0541Ea49704
59,AIOZ Network(AIOZ),,$0.61870.000199 ETH,3.25%,"$21,272,548.00 ","$688,506,048.00 ","$273,841,110.07 ",206640.27%,0x626e8036deb333b408be468f951bdb42433cbf18
60,SAND(SAND),,$0.29880.000096 ETH,-7.36%,"$71,135,150.00 ","$682,957,615.00 ","$896,400,000.00 ","211,345-0.001%",0x3845badAde8e6dFF049820680d1F14bD3903a5d0
61,Ethena(ENA),,$0.38770.000124 ETH,-4.96%,"$89,560,645.00 ","$663,929,419.00 ","$5,816,070,000.00 ","39,665-0.018%",0x57e114B691Db790C35207b2e685D4A43181e6061
62,Frax(FRAX),,$0.99420.000319 ETH,-0.28%,"$29,398,760.00 ","$645,783,048.00 ","$645,697,426.20 ","8,997-0.011%",0x853d955acef822db058eb8505911ed77f175b99e
63,Nexo(NEXO),,$1.120.000360 ETH,-5.89%,"$6,381,158.00 ","$626,579,555.00 ","$1,120,000,000.00 ",808190.01%,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
64,Worldcoin(WLD),,$2.020.000649 ETH,-8.73%,"$150,110,528.00 ","$626,272,386.00 ","$20,200,000,000.00 ",264200.09%,0x163f8c2467924be0ae7b5347228cabf260318753
65,Tether Gold(XAUt),,"$2,446.170.785351 ETH",1.07%,"$13,656,673.00 ","$603,219,259.00 ","$603,039,613.08 ",20440.05%,0x68749665ff8d2d112fa859aa293f07a622782f38
66,Decentraland(MANA),,$0.30350.000097 ETH,-7.53%,"$67,249,299.00 ","$566,653,255.00 ","$665,706,687.02 ",3013620.00%,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
67,Wrapped Decentraland MANA(wMANA),,$0.30350.000097 ETH,-7.53%,"$67,249,299.00 ","$566,653,255.00 ","$8,400,734.83 ",0,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be
68,chiliZ(CHZ),,$0.06210.000020 ETH,-6.39%,"$45,831,048.00 ","$552,990,297.00 ","$552,159,999.94 ",1217860.00%,0x3506424f91fd33084466f402d5d97f05f8e3b4af
69,Synthetix Network Token(SNX),,$1.590.000510 ETH,-7.19%,"$36,389,908.00 ","$523,025,035.00 ","$521,827,035.36 ",30.00%,0xd0dA9cBeA9C3852C5d63A95F9ABCC4f6eA0F9032
70,Synthetix Network Token(SNX),,$1.590.000510 ETH,-7.19%,"$36,389,908.00 ","$523,025,035.00 ","$521,827,035.36 ","87,638-0.002%",0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
71,Pendle(PENDLE),,$3.320.001066 ETH,-8.63%,"$83,654,379.00 ","$522,269,900.00 ","$858,040,812.96 ",354390.13%,0x808507121b80c02388fad14726482e061b8da827
72,swETH(swETH),,"$3,340.54931.072495 ETH",-5.33%,"$1,117,903.00 ","$515,327,279.00 ","$515,273,048.87 ","21,020-0.224%",0xf951E335afb289353dc249e82926178EaC7DEd78
73,Staked Frax Ether(sfrxETH),,"$3,472.75711.114941 ETH",-4.07%,"$210,187.00 ","$512,416,012.00 ","$483,553,643.48 ",33910.00%,0xac3e018457b222d93114458476f3e3416abbe38f
74,Wrapped ROSE (Wormhole)(wROSE),,$0.07590.000024 ETH,-7.91%,"$14,814,584.00 ","$509,414,656.00 ","$48,385.29 ",2540.00%,0x26b80fbfc01b71495f477d5237071242e0d959d7
75,Gnosis(GNO),,$193.850.062236 ETH,-6.85%,"$11,539,306.00 ","$503,636,131.00 ","$1,938,500,000.00 ",199890.01%,0x6810e776880c02933d47db1b9fc05908e5386b96
76,Dexe(DEXE),,$8.740.002806 ETH,-7.13%,"$4,623,193.00 ","$500,281,072.00 ","$843,450,195.26 ",23600.00%,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
77,TrueUSD(TUSD),,$0.99890.000321 ETH,--,"$27,544,841.00 ","$494,714,951.00 ","$332,360,521.83 ",509940.00%,0x0000000000085d4780B73119b644AE5ecd22b376
78,ApeCoin(APE),,$0.70880.000228 ETH,-8.60%,"$52,113,310.00 ","$479,700,460.00 ","$708,789,000.00 ",1506400.02%,0x4d224452801aced8b2f0aebe155379bb5d594381
79,Paxos Gold(PAXG),,"$2,425.680.778773 ETH",0.28%,"$15,251,112.00 ","$453,955,280.00 ","$453,771,957.60 ",325240.01%,0x45804880De22913dAFE09f4980848ECE6EcbAf78
80,Livepeer Token(LPT),,$13.330.004280 ETH,-9.36%,"$28,581,705.00 ","$448,734,674.00 ","$332,163,791.62 ","2,206,639-0.001%",0x58b6a8a3302369daec383334672404ee733ab239
81,LayerZero(ZRO),,$3.990.001281 ETH,-12.64%,"$127,894,056.00 ","$443,983,679.00 ","$3,701,312,228.25 ",69530.50%,0x6985884C4392D348587B19cb9eAAf157F13271cd
82,Safe Token(SAFE),,$1.0350.000332 ETH,-3.54%,"$10,423,017.00 ","$442,113,900.00 ","$1,035,000,000.00 ",103960.03%,0x5afe3855358e112b5647b952709e6165e1c1eeee
83,Compound(COMP),,$52.390.016820 ETH,0.20%,"$82,538,203.00 ","$439,522,684.00 ","$523,900,000.00 ",2197010.00%,0xc00e94cb662c3520282e6f5717214004a7f26888
84,Axelar(AXL),,$0.58510.000188 ETH,-6.91%,"$14,444,244.00 ","$431,546,817.00 ","$57,857,395.85 ","6,895-0.058%",0x467719ad09025fcc6cf6f8311755809d45a5e5f3
85,Wormhole Token(W),,$0.23720.000076 ETH,-7.20%,"$38,635,622.00 ","$427,577,355.00 ","$19,321,328.29 ",48390.66%,0xb0ffa8000886e57f86dd5264b9582b2ad87b2b91
86,1INCH Token(1INCH),,$0.33870.000109 ETH,-1.98%,"$30,999,521.00 ","$425,114,743.00 ","$508,071,000.00 ",1055210.01%,0x111111111117dc0aa78b770fa6a738034120c302
87,PancakeSwap Token(Cake),,$1.790.000575 ETH,-6.71%,"$39,992,827.00 ","$417,101,033.00 ","$6,638,073.59 ",143390.06%,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898
88,Kava.io(KAVA),,$0.37710.000121 ETH,-8.24%,"$11,112,811.00 ","$408,351,177.00 ",$0.00 ,0,0x0c356b7fd36a5357e5a017ef11887ba100c9ab76
89,APENFT(NFT),,$0.000.000000 ETH,-1.67%,"$21,488,128.00 ","$406,431,626.00 ","$84,540.28 ",15490.00%,0x198d14f2ad9ce69e76ea330b374de4957c3f850a
90,rswETH(rswETH),,"$3,188.28871.023611 ETH",-4.70%,"$3,094,235.00 ","$395,451,922.00 ","$395,446,631.54 ","10,042-0.119%",0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0
91,MX Token(MX),,$3.920.001259 ETH,-0.34%,"$18,432,216.00 ","$382,705,642.00 ","$1,663,106,389.28 ","2,826-0.106%",0x11eef04c884e24d9b7b4760e7476d06ddf797f36
92,Aevo(AEVO),,$0.4380.000141 ETH,-7.02%,"$56,745,546.00 ","$379,027,438.00 ","$437,960,000.00 ",430460.01%,0xB528edBef013aff855ac3c50b381f253aF13b997
93,IoTeX Network(IOTX),,$0.03920.000013 ETH,-6.53%,"$12,005,756.00 ","$370,165,995.00 ","$392,067,724.70 ",223900.00%,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
94,Prime(PRIME),,$8.110.002604 ETH,-5.19%,"$3,728,764.00 ","$361,420,858.00 ","$901,111,110.21 ","17,803-0.028%",0xb23d80f5fefcddaa212212f028021b41ded428cf
95,Illuvium(ILV),,$53.670.017231 ETH,-8.36%,"$14,579,922.00 ","$359,613,945.00 ","$446,257,033.44 ",518860.01%,0x767fe9edc9e0df98e07454847909b5e959d7ca0e
96,ETHx(ETHx),,"$3,235.531.038778 ETH",-5.52%,"$146,645.00 ","$357,790,483.00 ","$357,529,300.53 ",227430.05%,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b
97,SafePalToken(SFP),,$0.77010.000247 ETH,-0.02%,"$6,406,959.00 ","$356,270,313.00 ","$154,022,800.00 ",2910.69%,0x12e2b8033420270db2f3b328e32370cb5b2ca134
98,Turbo(TURBO),,$0.0050.000002 ETH,-10.64%,"$75,280,902.00 ","$345,284,348.00 ","$342,740,940.00 ",365950.02%,0xa35923162c49cf95e6bf26623385eb431ad920d3
99,Curve DAO Token(CRV),,$0.28080.000090 ETH,5.74%,"$163,109,255.00 ","$331,745,374.00 ","$604,171,693.41 ",868730.06%,0xD533a949740bb3306d119CC777fa900bA034cd52
100,Compound Ether(cETH),,$62.590.020095 ETH,-5.75%,$430.00 ,"$327,893,027.00 ","$327,879,655.29 ","71,540-0.001%",0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5
101,Ondo U.S. Dollar Yield(USDY),,$1.0460.000336 ETH,0.51%,"$246,571.00 ","$327,811,854.00 ","$225,907,070.78 ",2410.00%,0x96F6eF951840721AdBF46Ac996b59E0235CB985C
102,Gravity(G),,$0.0450.000014 ETH,-7.43%,"$25,700,564.00 ","$325,395,845.00 ","$449,895,398.37 ",742,0x9c7beba8f6ef6643abd725e45a4e8387ef260649
103,ConstitutionDAO(PEOPLE),,$0.0640.000021 ETH,-11.69%,"$151,241,434.00 ","$325,073,062.00 ","$324,119,065.32 ",180060.01%,0x7a58c0be72be218b41c608b7fe7c5bb630736c71
104,GreenMetaverseToken(GMT),,$0.14180.000046 ETH,-2.74%,"$20,168,494.00 ","$324,854,621.00 ","$429,208,737.55 ",117600.00%,0xe3c408BD53c31C085a1746AF401A4042954ff740
105,WOO(WOO),,$0.16710.000054 ETH,-10.60%,"$14,952,603.00 ","$320,521,753.00 ","$501,186,000.00 ",197010.04%,0x4691937a7508860f876c9c0a2a617e7d9e945d4b
106,Aragon Network Token(ANT),,$7.950.002552 ETH,-5.75%,"$9,888,754.00 ","$318,762,530.00 ","$343,371,868.50 ",116090.03%,0xa117000000f279d81a1d3cc75430faa017fa5a2e
107,ether.fi governance token(ETHFI),,$1.880.000604 ETH,-9.89%,"$105,962,101.00 ","$313,994,257.00 ","$1,880,000,000.00 ",930610.05%,0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB
108,Convex Token(CVX),,$3.20220.001028 ETH,4.91%,"$26,475,080.00 ","$311,746,522.00 ","$319,220,274.76 ",239510.05%,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
109,Blur(BLUR),,$0.17330.000056 ETH,-8.04%,"$37,247,732.00 ","$308,302,437.00 ","$519,945,000.00 ","56,572-0.014%",0x5283d291dbcf85356a21ba090e6db59121208b44
110,Golem Network Token(GLM),,$0.30440.000098 ETH,-7.53%,"$11,462,688.00 ","$304,360,645.00 ","$239,867,966.02 ",205310.03%,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429
111,Memecoin(MEME),,$0.01320.000004 ETH,-7.90%,"$39,728,911.00 ","$302,899,080.00 ","$912,876,900.00 ","782,348-0.001%",0xb131f4A55907B10d1F0A50d8ab8FA09EC342cd74
112,Staked Memecoin(sMEME),,$0.01320.000004 ETH,-7.90%,"$39,728,911.00 ","$302,899,080.00 ","$66,484,824.71 ",1857070.03%,0xc059a531b4234d05e9ef4ac51028f7e6156e2cce
113,SingularityNET Token(AGIX),,$0.48710.000156 ETH,-6.83%,"$745,587.00 ","$300,635,024.00 ","$244,558,440.95 ","67,147-0.054%",0x5b7533812759b45c2b44c19e320ba2cd2681b542
114,ZRX(ZRX),,$0.35070.000113 ETH,-5.87%,"$25,151,376.00 ","$297,215,150.00 ","$350,698,000.00 ",1936130.00%,0xe41d2489571d322189246dafa5ebde1f4699f498
115,Zilliqa(ZIL),,$0.01570.000005 ETH,-6.29%,"$16,087,846.00 ","$294,351,449.00 ","$2,149,525.65 ",234410.00%,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
116,Osmosis(OSMO),,$0.4360.000140 ETH,-5.37%,"$19,112,186.00 ","$294,133,391.00 ",$0.87 ,4,0x93a62ccfcf1efcb5f60317981f71ed6fb39f4ba2
117,Rocket Pool(RPL),,$13.750.004414 ETH,-8.03%,"$7,139,080.00 ","$283,273,072.00 ","$283,237,363.75 ","10,607-0.009%",0xd33526068d116ce69f19a9ee46f0bd304f21a51f
118,Celo native asset (Wormhole)(CELO),,$0.51770.000166 ETH,-5.83%,"$23,474,041.00 ","$282,271,524.00 ","$186,509.78 ",3770.00%,0x3294395e62f4eb6af3f1fcf89f5602d90fb3ef69
119,Wrapped Celo(wCELO),,$0.51770.000166 ETH,-5.83%,"$23,474,041.00 ","$282,271,524.00 ","$331,816.94 ",2690.00%,0xe452e6ea2ddeb012e20db73bf5d3863a3ac8d77a
120,EnjinCoin(ENJ),,$0.16890.000054 ETH,-5.44%,"$21,124,822.00 ","$281,537,039.00 ","$168,863,000.00 ",1581690.00%,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
121,Aethir Token(ATH),,$0.0690.000022 ETH,-0.22%,"$44,316,500.00 ","$281,470,167.00 ","$2,897,160,000.00 ",569750.34%,0xbe0Ed4138121EcFC5c0E56B40517da27E6c5226B
122,Compound Wrapped BTC(cWBTC),,"$1,266.180.406511 ETH",-3.65%,$0.00 ,"$275,689,434.00 ","$275,630,925.66 ","1,554",0xccf4429db6322d5c611ee964527d42e5d685dd6a
123,BAT(BAT),,$0.18260.000059 ETH,-6.69%,"$15,289,564.00 ","$273,455,350.00 ","$273,906,000.00 ",4450570.00%,0x0d8775f648430679a709e98d2b0cb6250d2887ef
124,HoloToken(HOT),,$0.00150.000000 ETH,-8.09%,"$10,381,478.00 ","$273,279,255.00 ","$272,407,820.44 ",1182940.00%,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
125,Tribe(TRIBE),,$0.49530.000159 ETH,1.24%,"$319,835.00 ","$267,305,287.00 ","$495,263,273.77 ",146170.03%,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b
126,dYdX(DYDX),,$1.160.000372 ETH,-7.03%,"$25,828,479.00 ","$265,012,934.00 ","$1,160,000,000.00 ",563150.02%,0x92d6c1e31e14520e676a687f0a93788b716beff5
127,SKALE(SKL),,$0.04760.000015 ETH,-6.43%,"$30,489,645.00 ","$262,503,019.00 ","$256,157,160.87 ",272240.05%,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7
128,ELF(ELF),,$0.35960.000115 ETH,-5.86%,"$22,397,722.00 ","$261,312,856.00 ","$316,432,160.00 ",510830.00%,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
129,AltLayer Token(ALT),,$0.1130.000036 ETH,-8.99%,"$30,171,902.00 ","$260,997,525.00 ","$1,129,970,000.00 ","168,698-0.299%",0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB
130,Trace(TRAC),,$0.63570.000204 ETH,-8.97%,"$2,252,678.00 ","$258,245,537.00 ","$317,849,000.00 ","21,685-0.005%",0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f
131,Avail(AVAIL),,$0.15050.000048 ETH,-10.98%,"$40,113,769.00 ","$257,795,804.00 ","$757,380.54 ",976-0.922%,0xEeB4d8400AEefafC1B2953e0094134A887C76Bd8
132,WQtum(WQTUM),,$2.44830.000786 ETH,-8.07%,"$33,146,043.00 ","$257,698,855.00 ","$263,980,637.79 ",520.00%,0x3103df8f05c4d8af16fd22ae63e406b97fec6938
